Timestamp,NPS,NSAT,Version,Comments
"10/28/2025, 4:35:40.215 PM",10,3,1.36.0,
"10/28/2025, 1:47:10.448 PM",10,3,1.36.0,sometimes when creating a new query it requires to enter the DB <REDACTED: user-file-path> multiple times
"10/28/2025, 12:54:01.962 PM",10,2,1.36.0,
"10/28/2025, 8:17:20.125 AM",3,0,1.36.0,AI Agents can't read the db tables so constantly choose the wrong names.  Also fails to recognise the relationships between tables containing FKs
"10/28/2025, 8:15:32.299 AM",1,0,1.36.0,Azure Data Studio was so much simplier !!
"10/28/2025, 12:59:13.557 AM",10,3,1.36.0,
"10/27/2025, 10:27:48.996 PM",8,2,1.36.0,
"10/27/2025, 4:44:39.44 PM",10,2,1.36.0,
"10/27/2025, 2:49:53.017 PM",7,2,1.36.0,"J’aimerais avoir la possibilité de modifier directement dans le tableau des résultats de la requête les valeurs des données, y compris de changer une valeur en « NULL ». Je voudrais également épingler certaines colonnes afin qu’elles restent figées à gauche du tableau pendant que je fais défiler les autres colonnes. Finalement, je souhaiterais pouvoir afficher les données du tableau dans un format portrait où les noms des colonnes se situent à gauche, et leurs valeurs à droite."
"10/27/2025, 1:30:03.655 PM",8,2,1.36.0,something similar to SSMSs' object explorer details would be nice. having the ability script out multiple <REDACTED: user-file-path> <REDACTED: user-file-path>
"10/27/2025, 1:09:03.763 PM",6,2,1.36.0,add the edit a register in the table
"10/27/2025, 12:17:42.556 PM",10,3,1.36.0,
"10/26/2025, 4:37:22.019 PM",3,0,1.36.0,It is very limited compared to Microsoft Azure.
"10/24/2025, 2:44:02.853 PM",5,1,1.36.0,"Más funcionalidades, como las de MSMS "
"10/24/2025, 12:44:09.838 PM",3,1,1.36.0,Make it less buggy
"10/24/2025, 8:46:35.305 AM",7,2,1.36.0,
"10/24/2025, 7:05:47.993 AM",7,2,1.36.0,copy function doesn't always work as i think how it should work
"10/24/2025, 6:35:04.212 AM",0,0,1.36.0,Keep developing Azure Data Studio
"10/24/2025, 6:27:17.755 AM",10,3,1.36.0,
"10/24/2025, 6:24:31.943 AM",9,2,1.36.0,
"10/23/2025, 10:34:56.972 PM",9,2,1.36.0,We have on prem for security reasons
"10/23/2025, 2:34:08.538 PM",2,1,1.36.0,"Its so slow to connect, gets hung up forever"
"10/23/2025, 1:04:43.386 PM",10,3,1.36.0,"Make a way to search for table names in the database. This is the only thing excel can do that this plugin can't. I know intellisense will autofill, but it's not quite the same as a search bar with results"
"10/23/2025, 11:53:08.018 AM",10,3,1.36.0,"SQL files added to project folder (outside extension), get automatically added to sqlproj if in the db folder."
"10/23/2025, 9:01:37.85 AM",10,3,1.36.0,
"10/23/2025, 6:22:59.627 AM",7,2,1.36.0,"I am moving from Azure Data Studio and are disappointed about some things:  * There were no automated migration of all my saved connections from ADS to VS Code. I had about 30 of them so there were quite a bit copy and pasting. * The F5 button is not used to execute a SQL query. I have been using that button for 15 years in both SQL Managent Studio and Azure Data Studio, but now i end upp in error dialogs about debug extensions not being present (although i do not want do debug). * I confuse the two buttons ""SQL Server"" and ""Database projects"" in the left menu all the time. I never use Database projects, but I need to hover over the icons every day to see which one is ""SQL Server"". I have also not installed the Database projects extension intentionally, but it seem to be bundled with ""SQL Server"".  I tried to inactivate the extension ""Database project"" and hoped for its icon to disappear but it didn't. This morning I found the option to Hide the icon in the left menu so I guess I solved it now."
"10/23/2025, 6:20:45.676 AM",8,2,1.36.0,
"10/23/2025, 12:46:39.359 AM",10,3,1.36.0,
"10/22/2025, 5:16:29.175 PM",10,3,1.36.0,"Being able to easily generate Conceptual, Logical, or Physical Data Models would be highly beneficial."
"10/22/2025, 5:15:20.909 PM",8,2,1.36.0,"When I click the export (csv or Excel) in the query results, remember the last place I saved a file, constently having to find the same folder terrible, Azure Data Studio did it correctly, VS Code should too!"
"10/22/2025, 10:30:55.597 AM",5,1,1.36.0,Not all the features from Azyure Data Studio have been moved across. The expectation is that we have to use this as our primary tool?
"10/22/2025, 10:19:23.179 AM",4,1,1.36.0,make it like azure data studio
"10/22/2025, 7:42:07.006 AM",6,2,1.36.0,buggy shi
"10/22/2025, 6:56:29.129 AM",8,2,1.36.0,Parallel execution like possible with Azure Data Studio.
"10/22/2025, 6:23:43.789 AM",6,2,1.36.0,"Show the query results in a seperate area, not in the <REDACTED: user-file-path> <REDACTED: user-file-path> window area."
"10/22/2025, 2:01:40.443 AM",7,2,1.36.0,
"10/21/2025, 5:03:02.178 PM",3,1,1.36.0,"It would be great if there was a shortcut to run queries (postgres extension uses shift + enter). Also the quick query is 1000, which seems a bit too large. It would be great if it was <=100 or easily customizable"
"10/21/2025, 1:03:48.185 PM",10,2,1.36.0,"implement ""Import flat flie wizard"" as it is in Azure Data Studio"
"10/21/2025, 12:49:30.472 PM",7,2,1.36.0,"Adding complete intelisense support regarding columns within tables and views, so I can type ""tableName."" and get a dropdown of ALL (not just directly connected to) would be life changing."
"10/21/2025, 11:06:13.305 AM",3,1,1.36.0,"I'm a minimalist and I'm used to Data Studio shortcut Keys. Honestly, I'm stuggling to let go DS and Come to Visual Studio. the layout seems like a mess. I'm gonna have to make all the fonts smaller to make at least more cleaner. "
"10/21/2025, 3:16:00.738 AM",8,2,1.36.0,Add the ability to edit data directly in a table here without need for writing insert statements. This function was previously available in azure data studio
"10/21/2025, 1:54:04.261 AM",8,2,1.36.0,thx.
"10/20/2025, 9:51:01.056 PM",2,1,1.36.0,"has been improvement since my last report - which i truely welcome so i dont need to use thirdparty apps as much, however still not anywhere close to ADS or SSMS. lacking import features, maintenence (plans, backups etc), and basic conveniences in general - inc F5 starting the project not the query. my take is more of a ""coming from <REDACTED: user-file-path> Server"" rather than postgres and so on, so missing all SSMS features is a productivity killer, and as such since ADS is being killed too, then this one needs to step up - at least in my opinion, especially if microsoft wants to retain sql server users :)"
"10/20/2025, 7:14:54.869 PM",10,3,1.36.0,
"10/20/2025, 1:27:56.661 PM",7,2,1.36.0,"I'd like to see more <REDACTED: user-file-path> from SSMS incorporated. Ultimately I'd love to see SSMS retired and the VS Code platform take over, whether through plugins or a dedicated version. "
"10/20/2025, 1:04:31.845 PM",9,3,1.36.0,I would love to see import an export data wizard incorporated in the MSSQL extension 
"10/20/2025, 12:37:20.39 PM",6,1,1.36.0,"Implement more of the features that are in Azure Data Studio (ADS), especially the management features.  SSMS isn't a good, or even viable, alternative on non-Windows systems."
"10/20/2025, 11:27:14.941 AM",10,3,1.36.0,"For the most databases I use, there's only one schema (dbo). For fast selecting a table in the treeview (type first characters) it would be very nice if the schema dbo (just the dbo) could be hidden, with an option."
"10/20/2025, 10:30:38.467 AM",5,2,1.36.0,<REDACTED: secret>
"10/20/2025, 8:04:24.865 AM",10,3,1.36.0,
"10/20/2025, 7:23:21.273 AM",9,2,1.36.0,
"10/20/2025, 6:39:02.162 AM",10,2,1.36.0,very easy to use and convenient to work on scripts and code in the same IDE.
"10/20/2025, 4:10:44.353 AM",6,1,1.36.0,Allow table data to be viewed and edited
"10/20/2025, 1:09:17.226 AM",7,2,1.36.0,"I hope to add quick data creation, update, and deletion features, as well as syntax generation for the data."
"10/19/2025, 11:26:40.234 PM",10,3,1.36.0,"Nothing to improve, it's good already."
"10/17/2025, 9:21:16.286 PM",6,2,1.36.0,"I was an early adopter and massive fan of Azure Data Studio. I know that product took some time to evolve into the state that it is today, so I am hopeful that the sql extension will get there as well some day. It has been a difficult transition to the sql extension.  My biggest compaints are <REDACTED: user-file-path> DB buttons. I often open a sql file and attempt to connect and the buttons are unresponsive. "
"10/17/2025, 5:46:51.586 PM",10,2,1.36.0,Edit table data option like what's availabe in Azure Data Studio
"10/17/2025, 5:20:29.254 PM",7,2,1.36.0,"La conexión muchas veces se corta sola, además de que en ocasiones se queda sin ejecutar la consulta."
"10/17/2025, 4:34:48.319 PM",4,1,1.36.0,"Schema compare of a database project to a sql server sits in Initalizing Comparision for over 15 minutes.  No error, no logs.  I was trying vscode schema compare as VS2022 schema compare keeps throwing exceptions that require a VS restart.  And yes, everything is updated.  Ands no, I have not logged it to vs feedback as its too painful, too much effort, and issues are rarely fixed..."
"10/17/2025, 1:57:17.89 PM",7,2,1.36.0,Not a replacement for SSMS. Needs full feature parity.
"10/17/2025, 12:50:12.81 PM",7,2,1.36.0,Make query results auto resizable like in Azure Data Studio.
"10/17/2025, 12:08:19.123 PM",10,3,1.36.0,
"10/17/2025, 11:26:22.652 AM",2,1,1.36.0,Add the functionallity to edit inline of the result table.
