"Timestamp","NPS","NSAT","Version","Comments"
"12/13/2025, 4:22:37.117 AM","6","2.0","1.37.1","（1）支持更改SQL编辑器的字体和显示结果的字体。（2）多个查询结果分标签显示。（3）支持对表记录的表格编辑。"
"12/12/2025, 10:28:58.421 PM","6","1.0","1.37.1","Its functional but feels a bit like pre-release. By comparison, Azure Data Studio performs things much better, looks better, etc. The extension ""ok"" but it needs work before replacing SSMS or ADS. "
"12/12/2025, 7:57:57.983 PM","9","2.0","1.37.1",""
"12/12/2025, 7:24:30.796 PM","8","0.0","1.37.1",""
"12/12/2025, 3:42:46.903 PM","8","2.0","1.36.0","The newest version doesn't work in Claude code editor, and I was having issues in VSCode as well and had to downgrade"
"12/12/2025, 3:23:43.096 PM","7","2.0","1.37.1","The UI isn't super polished, SSMS is still better for some workflows."
"12/12/2025, 3:22:17.826 PM","4","1.0","1.37.0","It commonly will not excecute and will say that there is another execution happening when you running it again, or just never return anything. The grid results will sometimes be empty or only showing one row instead of the full results. This cannot be utilized as the only tool, SSMS is still required for how often this tool just simply doesn't work."
"12/12/2025, 2:02:18.97 PM","9","2.0","1.37.1","Improve the Schema Compare tool so it is easier to make bulk / intelligent selections"
"12/12/2025, 10:59:10.175 AM","8","2.0","1.37.1",""
"12/12/2025, 10:20:25.323 AM","7","2.0","1.37.1","The agent tools and the integration with Copilot needs some work. For instance auto approving SELECT statements, but not alter, drop etc statements."
"12/12/2025, 9:39:52.891 AM","7","2.0","1.37.1",""
"12/11/2025, 11:29:25.563 PM","8","2.0","1.37.1","Table designer doesn't seem to ever load. Cannot find much information about it or its requirements to work. "
"12/11/2025, 10:11:51.605 PM","8","2.0","1.37.1",""
"12/11/2025, 9:00:09.482 PM","10","3.0","1.37.0","We need a github profile viewer extension. "
"12/11/2025, 7:02:26.795 PM","10","3.0","1.37.1",""
"12/11/2025, 6:20:15.681 PM","9","3.0","1.37.1","No improvements I can recommend but just to say the environment is very consistant with other MS data environments and easy to pick up any minor neuance or difference. "
"12/11/2025, 5:47:17.277 PM","8","2.0","1.37.1","More options for displaying results. A pivoted results pane would be great. "
"12/11/2025, 4:39:41.866 PM","10","2.0","1.37.1","When running queries, I often get a bunch of blank cells matching the query (i.e. the columns and row number show, but every cell is blank) for several seconds before they eventually display the dataset."
"12/11/2025, 4:26:56.012 PM","7","2.0","1.37.1","Need Query History to persist. If I close or restart VS Code, cannot see query history. So if need to check a query written 2 days back, I cannot if I have restarted my machine or VS Code in between."
"12/11/2025, 4:14:25.747 PM","10","3.0","1.37.1",""
"12/11/2025, 4:13:18.372 PM","10","2.0","1.37.1","I connect to multiple client db's in multiple environments. I'm able to group them by environment. When I have a query tab open, the db connection info is pretty small. I'm fine leaving it that size, but I would like the Tab color to match the group color, that way I can clearly see when a db connection is in Prod vs Dev.  Also- I would like to be able to easily import data the way we could with Azure Data Studio."
"12/11/2025, 3:50:17.163 PM","6","1.0","1.37.1","Its been very buggy and lacks features found in SSMS and Azure Studio. I do like VS Code and think its a great tool. However, i need to do things like control SQL agent Jobs, integration packages."
"12/11/2025, 3:07:55.491 PM","2","1.0","1.37.1",""
"12/11/2025, 2:51:50.232 PM","4","1.0","1.37.1",""
"12/11/2025, 1:58:00.722 PM","5","1.0","1.37.1","<REDACTED: secret>"
"12/11/2025, 1:53:50.677 PM","7","2.0","1.37.1","It's not very important but when I try to write ""."" (dot) before ""*""  in select statement without table alias (i.e. select * from table) I usually get error in output window :  ""[Error - 2:41:03 PM] Request <REDACTED: user-file-path> failed.   Message: Sequence contains no matching element   Code: 0 "" "
"12/11/2025, 1:38:10.712 PM","8","2.0","1.37.1",""
"12/11/2025, 1:01:22.015 PM","10","3.0","1.37.1",""
"12/11/2025, 11:15:53.044 AM","2","1.0","1.37.1",""
"12/11/2025, 10:04:42.058 AM","8","2.0","1.37.1",""
"12/11/2025, 8:36:11.17 AM","10","2.0","1.37.1",""
